x,data
0.000000000000000000e+00,9.862185709693326308e-01
5.000250012500625019e+01,1.016591809540736913e+00
1.000050002500125004e+02,1.004133874093289247e+00
1.500075003750187648e+02,1.004515849292619833e+00
2.000100005000250007e+02,9.755083106083231037e-01
2.500125006250312367e+02,1.007213344585621062e+00
3.000150007500375295e+02,9.986332814651224243e-01
3.500175008750437655e+02,1.008346122987834326e+00
4.000200010000500015e+02,1.001257027177496317e+00
4.500225011250562375e+02,9.803453003171553881e-01
5.000250012500624734e+02,9.951709028858668482e-01
5.500275013750687094e+02,1.022221058634928736e+00
6.000300015000750591e+02,1.003396177982923243e+00
6.500325016250812951e+02,9.880453501887132006e-01
7.000350017500875310e+02,9.968233263776612452e-01
7.500375018750937670e+02,9.878282984950547130e-01
8.000400020001000030e+02,9.869223697409275076e-01
8.500425021251062390e+02,9.952102014831599730e-01
9.000450022501124749e+02,9.753692618203745335e-01
9.500475023751187109e+02,9.960091384508191759e-01
1.000050002500124947e+03,9.804289236950444186e-01
1.050052502625131183e+03,9.819607629323902076e-01
1.100055002750137419e+03,1.008994556310764068e+00
1.150057502875143655e+03,1.007823689290087588e+00
1.200060003000150118e+03,9.897359617027309264e-01
1.250062503125156354e+03,1.005101223482315120e+00
1.300065003250162590e+03,1.000348633384533059e+00
1.350067503375168826e+03,9.818623437211581040e-01
1.400070003500175062e+03,9.960999518427509081e-01
1.450072503625181298e+03,9.890692957515234696e-01
1.500075003750187534e+03,9.919422673848975469e-01
1.550077503875193770e+03,1.007920803026182810e+00
1.600080004000200006e+03,1.007330202703683897e+00
1.650082504125206242e+03,9.803684807936994261e-01
1.700085004250212478e+03,1.003105057558342672e+00
1.750087504375218714e+03,9.805917014469897053e-01
1.800090004500224950e+03,9.820140639956412842e-01
1.850092504625231186e+03,9.928320939057735384e-01
1.900095004750237422e+03,9.862004435111788592e-01
1.950097504875243658e+03,9.800442973684533321e-01
2.000100005000249894e+03,9.807073423995313899e-01
2.050102505125256357e+03,9.847694475259873848e-01
2.100105005250262366e+03,9.707254405224643445e-01
2.150107505375268829e+03,9.970863538167514806e-01
2.200110005500274838e+03,9.899884696960363772e-01
2.250112505625281301e+03,9.850661523321008195e-01
2.300115005750287310e+03,9.720222017970505668e-01
2.350117505875293773e+03,9.967397959313758493e-01
2.400120006000300236e+03,1.004582634973569810e+00
2.450122506125306245e+03,9.870283019631812538e-01
2.500125006250312708e+03,9.816446578372238774e-01
2.550127506375318717e+03,9.826108631011052363e-01
2.600130006500325180e+03,9.934075267732644932e-01
2.650132506625331189e+03,9.884218519487982801e-01
2.700135006750337652e+03,9.960630330809256971e-01
2.750137506875343661e+03,9.940787486560065389e-01
2.800140007000350124e+03,9.891719989778674504e-01
2.850142507125356133e+03,9.710038867943349139e-01
2.900145007250362596e+03,9.912594877703461149e-01
2.950147507375368605e+03,9.830187158748707743e-01
3.000150007500375068e+03,9.786055758228904278e-01
3.050152507625381077e+03,1.008654051987539102e+00
3.100155007750387540e+03,9.787022706512057413e-01
3.150157507875393549e+03,1.002704412027913605e+00
3.200160008000400012e+03,9.818504042244599050e-01
3.250162508125406475e+03,9.826181830705320586e-01
