x,data
0.000000000000000000e+00,9.880780911764442953e-01
5.000250012500625019e+01,1.209048069763221989e+00
1.000050002500125004e+02,6.625648216127637546e-01
1.500075003750187648e+02,8.434087951233345537e-01
2.000100005000250007e+02,1.022766824455236145e+00
2.500125006250312367e+02,1.020372004668516297e+00
3.000150007500375295e+02,9.121441374268162150e-01
3.500175008750437655e+02,9.406181801771495987e-01
4.000200010000500015e+02,1.125669346684567529e+00
4.500225011250562375e+02,1.123214674496160637e+00
5.000250012500624734e+02,9.273827520923687562e-01
5.500275013750687094e+02,9.696863227101510940e-01
6.000300015000750591e+02,1.072239414459770668e+00
6.500325016250812951e+02,9.463899013614341937e-01
7.000350017500875310e+02,1.048291277689600065e+00
7.500375018750937670e+02,1.070905254070333434e+00
8.000400020001000030e+02,9.147813000985647314e-01
8.500425021251062390e+02,1.086673482615933217e+00
9.000450022501124749e+02,7.981682735611727031e-01
9.500475023751187109e+02,1.084324872777126858e+00
1.000050002500124947e+03,1.009205885648131407e+00
1.050052502625131183e+03,1.149562413658161031e+00
1.100055002750137419e+03,9.438648149477857352e-01
1.150057502875143655e+03,1.057472208995894114e+00
1.200060003000150118e+03,9.205223381940121907e-01
1.250062503125156354e+03,8.502787145853569761e-01
1.300065003250162590e+03,1.045830754305066890e+00
1.350067503375168826e+03,9.893808080551850237e-01
1.400070003500175062e+03,9.198492793626666941e-01
1.450072503625181298e+03,9.753485853517386284e-01
1.500075003750187534e+03,1.147907378191469707e+00
1.550077503875193770e+03,1.073390460538021118e+00
1.600080004000200006e+03,9.556583709947810146e-01
1.650082504125206242e+03,1.065350513434180524e+00
1.700085004250212478e+03,8.526033772369591146e-01
1.750087504375218714e+03,1.266621799098984980e+00
1.800090004500224950e+03,1.081584262720950873e+00
1.850092504625231186e+03,1.040849199277510850e+00
1.900095004750237422e+03,9.291772993904164890e-01
1.950097504875243658e+03,8.468391151541828643e-01
2.000100005000249894e+03,9.314505255074192469e-01
2.050102505125256357e+03,1.018461653362109143e+00
2.100105005250262366e+03,9.157675062236396712e-01
2.150107505375268829e+03,1.034086093249078075e+00
2.200110005500274838e+03,9.803531021823281844e-01
2.250112505625281301e+03,1.030968094429884907e+00
2.300115005750287310e+03,8.544752741047596523e-01
2.350117505875293773e+03,9.643994424392030584e-01
2.400120006000300236e+03,1.079983961433682360e+00
2.450122506125306245e+03,1.004696726892556624e+00
2.500125006250312708e+03,7.747934796064526175e-01
2.550127506375318717e+03,9.651309445690892108e-01
2.600130006500325180e+03,8.053579118880818122e-01
2.650132506625331189e+03,1.091769023484463474e+00
2.700135006750337652e+03,1.133505255199767303e+00
2.750137506875343661e+03,1.067929445480720885e+00
2.800140007000350124e+03,9.921368340039948830e-01
2.850142507125356133e+03,9.087851300907323626e-01
2.900145007250362596e+03,1.048731256488080188e+00
2.950147507375368605e+03,1.080426266642223299e+00
3.000150007500375068e+03,8.217422303530828032e-01
3.050152507625381077e+03,7.762478360367678354e-01
3.100155007750387540e+03,1.000467869827548872e+00
3.150157507875393549e+03,9.012474216452415199e-01
3.200160008000400012e+03,9.814512912504711473e-01
3.250162508125406475e+03,9.409009356193924756e-01
3.300165008250412484e+03,9.945685939144501830e-01
3.350167508375418947e+03,9.414380401883246652e-01
3.400170008500424956e+03,1.115311340070324730e+00
3.450172508625431419e+03,9.911319730509974280e-01
3.500175008750437428e+03,9.432058116600101627e-01
3.550177508875443891e+03,9.179485013298108731e-01
3.600180009000449900e+03,1.042888444106108370e+00
3.650182509125456363e+03,9.925631535272542161e-01
3.700185009250462372e+03,9.615429416725430611e-01
3.750187509375468835e+03,1.202526212254651616e+00
3.800190009500474844e+03,8.186127913293238523e-01
3.850192509625481307e+03,9.067278192318674046e-01
3.900195009750487316e+03,8.707888383573035851e-01
3.950197509875493779e+03,9.996378625742327051e-01
4.000200010000499788e+03,8.964572491499983586e-01
4.050202510125506251e+03,9.466212397466449158e-01
4.100205010250512714e+03,8.792268312734503599e-01
4.150207510375518723e+03,9.789438138848108872e-01
4.200210010500524731e+03,1.017431341747588647e+00
