River,Data Type,Parameter,Value,Predation_Level
Aripo,r2GLS,AIC,-1015272466.170596,High
Aripo,r2GLS,init,0.22633952098970711,High
Aripo,r2GLS,lam,-1.5827676724386016e-07,High
Aripo,r2GLS,AIC,-320391640.21003491,Low
Aripo,r2GLS,init,0.35429568798729988,Low
Aripo,r2GLS,lam,-2.6492103193688191e-07,Low
Marianne,r2GLS,AIC,-553191124.99987006,High
Marianne,r2GLS,init,0.28542140586679804,High
Marianne,r2GLS,lam,-3.2205905814030252e-07,High
Marianne,r2GLS,AIC,-52487231.296442479,Low
Marianne,r2GLS,init,0.61285621406342294,Low
Marianne,r2GLS,lam,-4.9973406470854747e-07,Low
Quare,r2GLS,AIC,-1194062864.7729151,High
Quare,r2GLS,init,0.22392202521710139,High
Quare,r2GLS,lam,-9.7891661347326338e-08,High
Quare,r2GLS,AIC,-106243873.18470815,Low
Quare,r2GLS,init,0.47352350078818228,Low
Quare,r2GLS,lam,-7.7608339357247185e-07,Low
Yarra,r2GLS,AIC,-410697539.10471988,High
Yarra,r2GLS,init,0.32936765981978888,High
Yarra,r2GLS,lam,-3.1641075428750632e-07,High
Yarra,r2GLS,AIC,-402831828.85036391,Low
Yarra,r2GLS,init,0.43814847147459995,Low
Yarra,r2GLS,lam,-2.0743324191728263e-07,Low
